title,price,bedroom,bathroom,carport,LT,LB,badges,agent,updated,location,link,kecamatan,kabupaten_kota,total_rooms,min_area_needed,price_per_m2_land,price_per_m2_building,building_efficiency,listing_age_days,room_density,bathroom_bedroom_ratio,fuzzy_area_quality,fuzzy_quality_score,efficiency_category,kecamatan_encoded,kabupaten_kota_encoded
"Rumah Cantik 2 Lt di Sambiroto Hunian Idaman Milenial, Hanya 800 Jutaan",840000000.0,3.0,2.0,1,91.0,90.0,"Rumah, Dekat Tempat Ibadah",Novi,2025-04-22 14:00:25.158491,"Purwomartani, Yogyakarta",/properti/yogyakarta/hos17927356/,Purwomartani,Yogyakarta,5.0,45.0,9230769.23076923,9333333.333333334,0.989010989010989,14,0.05555555555555555,0.6666666666666666,0.2718244218514456,0.2718244218514456,high,21,0
"Rumah Murah, 10 Menit Dari Ring Road Utara Maguwoharjo, Sleman",450000000.0,2.0,2.0,1,80.0,60.0,"Rumah, Siap Huni, Dekat Sekolah, Dekat Tempat Wisata",Andy Wastu,2025-04-22 14:00:25.158505,"Maguwoharjo, Yogyakarta",/properti/yogyakarta/hos17927075/,Maguwoharjo,Yogyakarta,4.0,36.0,5625000.0,7500000.0,0.75,14,0.06666666666666667,1.0,0.18335611671702445,0.18335611671702445,high,13,0
Rumah Jogja Tegalrejo Dijual Lokasi Tengah Kota,14000000000.0,4.0,4.0,1,300.0,150.0,"Rumah, Dekat Pusat Perbelanjaan, Dekat Sekolah",Eka Lestari ERA iREA Jogja,2025-04-22 14:00:25.158531,"Tegalrejo, Yogyakarta",/properti/yogyakarta/hos17926074/,Tegalrejo,Yogyakarta,8.0,72.0,46666666.666666664,93333333.33333333,0.5,14,0.05333333333333334,1.0,0.49999999999999967,0.49999999999999967,low,25,0
"Bonus Furniture Tempat Tidur, Lemari, Tv, Kulkas, Ac, Sofa",519000000.0,3.0,1.0,1,92.0,61.0,Rumah,Nurul,2025-04-22 14:00:25.158639,"Gondokusuman, Yogyakarta",/properti/yogyakarta/hos17922867/,Gondokusuman,Yogyakarta,4.0,36.0,5641304.347826087,8508196.721311476,0.6630434782608695,14,0.06557377049180328,0.3333333333333333,0.20257458899430286,0.20257458899430286,medium,6,0
Rumah Dekat Rumah Sakit Di Seyegan Sleman Yogyakarta,510000000.0,3.0,1.0,1,98.0,60.0,"Rumah, Full Furnished, Dekat Fasilitas Kesehatan",Nurul,2025-04-22 14:00:25.158645,"Cebongan, Yogyakarta",/properti/yogyakarta/hos17922619/,Cebongan,Yogyakarta,4.0,36.0,5204081.632653061,8500000.0,0.6122448979591837,14,0.06666666666666667,0.3333333333333333,0.2031602703490038,0.2031602703490038,medium,2,0
Kpr Rumah Bonus Motor Matic,512000000.0,3.0,1.0,1,93.0,60.0,"Rumah, Full Furnished",Nurul,2025-04-22 14:00:25.158648,"Caturtunggal, Yogyakarta",/properti/yogyakarta/hos17922546/,Caturtunggal,Yogyakarta,4.0,36.0,5505376.344086021,8533333.333333334,0.6451612903225806,14,0.06666666666666667,0.3333333333333333,0.19594111947729956,0.19594111947729956,medium,1,0
Rumah 2lt di Utara Xt Square Glagahsari Umbulharjo Kota Jogja,600000000.0,2.0,1.0,1,70.0,100.0,"Rumah, Dekat Sekolah",M Mirza Al Irsyad Sei Irsyad Sei,2025-04-15 14:00:25.158720,"Umbulharjo, Yogyakarta",/properti/yogyakarta/hos17869154/,Umbulharjo,Yogyakarta,3.0,27.0,8571428.57142857,6000000.0,1.4285714285714286,21,0.03,0.5,0.16586987778970555,0.16586987778970555,very_high,26,0
Rumah Mewah Baru Dengan Kolam Renang Gaya Bali di Baciro Dekat RS Bethesda dan UKDW 2 Lantai Rumah SHM Bagus,65000000000.0,4.0,4.0,1,286.0,200.0,"Rumah, Dekat Sekolah, Dekat Fasilitas Kesehatan",Muhlisin panoramicland,2025-04-22 14:00:25.158725,"Gondokusuman, Yogyakarta",/properti/yogyakarta/hos16160475/,Gondokusuman,Yogyakarta,8.0,72.0,227272727.27272728,325000000.0,0.6993006993006993,14,0.04,1.0,0.4999999999999998,0.4999999999999998,medium,6,0
"Rumah Modern Minimalis Strategis, Cantik Elegan, Mulai 495 Jutaan Dekat Rsud Sleman",495000000.0,2.0,1.0,1,112.0,36.0,"Rumah, Dekat Akses Transportasi, Dekat Pusat Perbelanjaan, Dekat Sekolah",Novi,2025-04-15 14:00:25.158777,"Sleman, Yogyakarta",/properti/yogyakarta/hos17867590/,Sleman,Yogyakarta,3.0,27.0,4419642.857142857,13750000.0,0.32142857142857145,21,0.08333333333333333,0.5,0.17820953913132745,0.17820953913132745,low,24,0
Rumah Siap Huni Luas Tanah Ideal di Dekat Pasar Cebongan,725000000.0,3.0,2.0,1,114.0,71.0,"Rumah, Siap Huni, Dekat Pusat Perbelanjaan, Dekat Sekolah",Augi,2025-04-15 14:00:25.158782,"Jetis, Yogyakarta",/properti/yogyakarta/hos17867517/,Jetis,Yogyakarta,5.0,45.0,6359649.1228070175,10211267.605633803,0.6228070175438597,21,0.07042253521126761,0.6666666666666666,0.35320107905087705,0.35320107905087705,medium,8,0
