title,price,bedroom,bathroom,carport,LT,LB,badges,agent,updated,location,link
"Termurah Dan Terbaik ! Rumah Cantik Dengan Kontruksi Mewah Harga Murah Di Perumahan Mustika Sedayu Jalan Wates Km 13","Rp 319 Juta","2","1","1",": 97 m²",": 36 m²","Rumah, Premier, Dekat Sekolah","Ayanti Sahabat Properti Jogja","Diperbarui 6 hari yang lalu oleh","Sedayu, Bantul","/properti/bantul/hos15809287/"
"Rumah Mewah 2 Lantai Korea Style Modern Dengan Kolam Renang Luas Di Purwomartani Kalasan Sleman Dekat Swalayan Pamela 7","Rp 3,95 Miliar","5","3","2",": 296 m²",": 288 m²","Rumah, Premier, Full Furnished, Dekat Sekolah","Ayanti Sahabat Properti Jogja","Diperbarui 18 jam yang lalu oleh","Purwomartani , Sleman","/properti/sleman/hos18034859/"
"Perumahan Grand Str Palagan Jogja Ngaglik Sleman Yogyakarta","Rp 1,79 Miliar","3","3","2",": 135 m²",": 110 m²","Rumah, Premier, Dekat Pusat Perbelanjaan","Pt Menoreh Megah Abhipraya","Diperbarui 1 hari yang lalu oleh","Ngaglik, Sleman","/properti/sleman/hos17354968/"
"Turun Harga Rumah Siap Huni Dekat Upn 1.5m","Rp 1,52 Miliar","4","3","2",": 120 m²",": 165 m²","Rumah, Premier, Siap Huni, Dekat Pusat Perbelanjaan, Dekat Sekolah","tri indarto","Diperbarui 5 jam yang lalu oleh","Depok, Sleman","/properti/sleman/hos10048531/"
"Rumah Baru Dijual Jogja Kota Sidoarum Gamping Sleman Yogyakarta","Rp 715 Juta","2","2","1",": 100 m²",": 70 m²","Rumah, Premier, Dekat Sekolah","Pt Menoreh Megah Abhipraya","Diperbarui 3 hari yang lalu oleh","Gamping, Sleman","/properti/sleman/hos18016114/"
"Murah Banget! Rumah Cantik Minimalis Imut Fully Furnished Di Dalam Perumahan Griya Wirokerten Pratama Dekat Giwangan","Rp 435 Juta","2","1","1",": 75 m²",": 55 m²","Rumah, Premier, Full Furnished, Dekat Sekolah, Dekat Fasilitas Kesehatan","Ayanti Sahabat Properti Jogja","Diperbarui 4 hari yang lalu oleh","Banguntapan, Bantul","/properti/bantul/hos17977791/"
"Rumah Baru Fresh Cantik Minimalis Harga Super Ekonomis Dalam Cluster Dekat Rsud Prambanan Sleman","Rp 295 Juta","2","1","1",": 65 m²",": 45 m²","Rumah, Premier, Dekat Sekolah","Ayanti Sahabat Properti Jogja","Diperbarui 4 hari yang lalu oleh","Prambanan, Sleman","/properti/sleman/hos17611702/"
"Rumah Cantik Modern Estetik Kekinian Dengan Tata Ruang Fungsional Di Dekat Sd Model Wedomartani Ngemplak Sleman","Rp 885 Juta","3","2","1",": 102 m²",": 75 m²","Rumah, Premier, Siap Huni, Dekat Sekolah, Dekat Tempat Wisata","Ayanti Sahabat Properti Jogja","Diperbarui 4 hari yang lalu oleh","Ngemplak, Sleman","/properti/sleman/hos18057879/"
"Banting Harga!! Rumah Induk Dan Ruang Usaha Di Jual..5 Menit Saja Ke Kampus Uii, Upn, Amikom..sangat Strategis","Rp 5,4 Miliar","7","8","6",": 482 m²",": 700 m²","Rumah, Premier, Dekat Pusat Perbelanjaan, Dekat Sekolah, Dekat Fasilitas Kesehatan","Rully Java","Diperbarui 4 hari yang lalu oleh","Condong Catur, Sleman","/properti/sleman/hos14414747/"
"Rumah 2 Lantai Ada Kolam Renang View Merapi di Sleman Yogyakarta","Rp 1,5 Miliar","4","2","1",": 90 m²",": 120 m²","Rumah, Premier, Dekat Pusat Perbelanjaan, Dekat Sekolah, Dekat Fasilitas Kesehatan","Royal Pratama Indah","Diperbarui 5 jam yang lalu oleh","Umbulharjo, Yogyakarta","/properti/yogyakarta/hos17836453/"
"Rumah Baru 2 Lantai Ada Kolam Renang di Ngaglik Yogyakarta","Rp 1,5 Miliar","4","2","1",": 90 m²",": 120 m²","Rumah, Premier, Dekat Pusat Perbelanjaan, Dekat Sekolah, Dekat Fasilitas Kesehatan","Royal Pratama Indah","Diperbarui 5 jam yang lalu oleh","Maguwoharjo, Yogyakarta","/properti/yogyakarta/hos17940409/"
"Rumah Baru Shm Dijual Dekat Malioboro Yogyakarta Dalam Perumahan","Rp 1,37 Miliar","3","3","1",": 100 m²",": 95 m²","Rumah, Premier","Pt Menoreh Megah Abhipraya","Diperbarui 1 minggu yang lalu oleh","Kasihan, Bantul","/properti/bantul/hos17901881/"
"Perumahan Baru Shm Grand Str Yogyakarta Palagan Sleman Jogja","Rp 1,79 Miliar","3","3","2",": 133 m²",": 110 m²","Rumah, Premier, Dekat Fasilitas Kesehatan","Pt Menoreh Megah Abhipraya","Diperbarui 1 hari yang lalu oleh","Ngaglik, Sleman","/properti/sleman/hos17848096/"
"Rumah Minimalias Modern dekat Ugm, Uii & Sekolah Al Azhar *tipe Livia*","Rp 2,93 Miliar","4","2","1",": 118 m²",": 130 m²","Rumah, Premier, Dekat Sekolah","Muhlisin panoramicland","Diperbarui 2 hari yang lalu oleh","Depok, Sleman","/properti/sleman/hos17984737/"
"Rumah Baru 2 Lantai Perumahan Palagan Jogja Sleman Yogyakarta Shm","Rp 1,81 Miliar","3","3","2",": 128 m²",": 110 m²","Rumah, Premier","Pt Menoreh Megah Abhipraya","Diperbarui 2 hari yang lalu oleh","Ngaglik, Sleman","/properti/sleman/hos17920659/"
"Rumah Baru Rooftop Cluster Nogotirto Jogja Sleman Yogyakarta Shm","Rp 725 Juta","2","2","1",": 100 m²",": 70 m²","Rumah, Premier, Siap Huni, Dekat Sekolah","Pt Menoreh Megah Abhipraya","Diperbarui 3 hari yang lalu oleh","Gamping, Sleman","/properti/sleman/hos17333246/"
"Rumah Siap Huni Dalam Perumahan di Jalan Palagan Km 7 Dekat UGM dan Sekolah Al Azhar di Jalan palagan km 7 Rumah 2 Lantai di Jalan palagan km 7 SHM Ba","Rp 3,3 Miliar","4","4","1",": 146 m²",": 205 m²","Rumah, Premier, Siap Huni, Dekat Sekolah","Muhlisin panoramicland","Diperbarui 3 jam yang lalu oleh","Ngaglik, Sleman","/properti/sleman/hos15530603/"
"Bu Jual Cepat Rumah Murah Jogja Keren Superstrategis Di Tajem","Rp 495 Juta","2","1","1",": 70 m²",": 41 m²","Rumah, Premier, Siap Huni, Dekat Pusat Perbelanjaan, Dekat Sekolah","Hana Rohana","Diperbarui 4 hari yang lalu oleh","Depok, Sleman","/properti/sleman/hos18044232/"
"Rumah Siap Huni Kaliurang Full Furnished Baru","Rp 1,49 MiliarRp 1.8MHEMAT 310 Jutaan","4","3","2",": 104 m²",": 140 m²","Rumah, Premier, Full Furnished, Siap Huni, Dekat Sekolah","tri indarto","Diperbarui 4 hari yang lalu oleh","Ngaglik, Sleman","/properti/sleman/hos10624790/"
"Rumah MURAH BANGET...Tanahnya Luas di Jogja","Rp 555 Juta","2","1","1",": 183 m²",": 50 m²","Rumah, Premier, Dekat Pusat Perbelanjaan, Dekat Sekolah, Dekat Fasilitas Kesehatan","Rully Java","Diperbarui 4 hari yang lalu oleh","Sleman, Sleman","/properti/sleman/hos13429775/"
"5 Menit Saja Ke Kampus Uii, Upn, Stie Ykpn, Amikom Dan Pakuwon Mall","Rp 1,45 MiliarRp 1.5MHEMAT 26 Jutaan","4","3","1",": 146 m²",": 146 m²","Rumah, Premier, Dekat Pusat Perbelanjaan, Dekat Sekolah, Dekat Fasilitas Kesehatan","Rully Java","Diperbarui 4 hari yang lalu oleh","Condong Catur, Sleman","/properti/sleman/hos16851875/"
"15 Menitan Saja Ke Kampus Sanata Dharma..rumah Istimewa..lingkungan Sangat Nyaman","Rp 799 Juta","3","2","1",": 88 m²",": 84 m²","Rumah, Premier, Dekat Pusat Perbelanjaan, Dekat Sekolah, Dekat Fasilitas Kesehatan","Rully Java","Diperbarui 4 hari yang lalu oleh","Purwomartani , Sleman","/properti/sleman/hos18073237/"
"10 Menit Saja ke kampus UGM..Lingkungan Nyaman, Aman dan Bersih","Rp 1,4 Miliar","5","2","2",": 120 m²",": 200 m²","Rumah, Premier, Dekat Pusat Perbelanjaan, Dekat Sekolah, Dekat Fasilitas Kesehatan","Rully Java","Diperbarui 4 hari yang lalu oleh","Mlati, Sleman","/properti/sleman/hos17651556/"
"Rumah Modern Heritage di Sleman Dekat Sleman City Hall","Rp 1,72 Miliar","3","3","2",": 136 m²",": 111 m²","Rumah, Premier, Siap Huni, Dekat Sekolah, Dekat Landmark","Siska Core","Diperbarui 5 hari yang lalu oleh","Ngaglik, Sleman","/properti/sleman/hos18074573/"
"Rumah Siap Huni 4 Kamar Maguwoharjo Wedomartani","Rp 1,58 Miliar","4","2","2",": 168 m²",": 130 m²","Rumah, Premier, Full Furnished, Siap Huni, Dekat Pusat Perbelanjaan","tri indarto","Diperbarui 5 hari yang lalu oleh","Depok, Sleman","/properti/sleman/hos10280665/"
"Rumah Baru 2lt View Gunung Merapi di Sleman Yogyakarta","Rp 1,5 Miliar","4","2","1",": 90 m²",": 120 m²","Rumah, Premier, Dekat Pusat Perbelanjaan, Dekat Sekolah, Dekat Fasilitas Kesehatan","Royal Pratama Indah","Diperbarui 5 jam yang lalu oleh","Sleman, Yogyakarta","/properti/yogyakarta/hos17940336/"
"Rumah 2 Lantai Baru Unfurnished SHM View Merapi Yogyakarta","Rp 1,5 Miliar","4","2","2",": 90 m²",": 120 m²","Rumah, Premier, Dekat Pusat Perbelanjaan, Dekat Sekolah, Dekat Fasilitas Kesehatan","Royal Pratama Indah","Diperbarui 5 jam yang lalu oleh","Depok, Sleman","/properti/sleman/hos17494954/"
"Jual Rumah 2 Lantai Elegan Dekat Kampus Uii View Merapi","Rp 1,57 Miliar","3","2","1",": 107 m²",": 130 m²","Rumah, Premier, Dekat Akses Transportasi, Dekat Sekolah, Dekat Landmark","Royal Pratama Indah","Diperbarui 5 jam yang lalu oleh","Ngaglik, Sleman","/properti/sleman/hos17935651/"
"Rumah 2 Lantai View Gunung Merapi di Yogyakarta","Rp 1,5 Miliar","4","2","1",": 90 m²",": 120 m²","Rumah, Premier, Dekat Pusat Perbelanjaan, Dekat Sekolah, Dekat Fasilitas Kesehatan","Royal Pratama Indah","Diperbarui 5 jam yang lalu oleh","Kaliurang, Sleman","/properti/sleman/hos17836396/"
"Rumah 2 Lantai Baru Unfurnished SHM Dekat Kantor Kecamatan Ngaglik Sleman","Rp 1,41 Miliar","3","2","1",": 90 m²",": 110 m²","Rumah, Premier, Dekat Sekolah, Dekat Tempat Wisata, Dekat Landmark","Akatara Indah Land","Diperbarui 6 hari yang lalu oleh","Sleman, Yogyakarta","/properti/yogyakarta/hos17924775/"
"Siap Huni Dijual Rumah 2 Lantai Area Sleman City Hall SHM Banyak Bonus","Rp 1,95 Miliar","3","2","1",": 109 m²",": 115 m²","Rumah, Premier, Full Furnished, Siap Huni, Dekat Pusat Perbelanjaan","Akatara Indah Land","Diperbarui 6 hari yang lalu oleh","Sleman, Yogyakarta","/properti/yogyakarta/hos17561349/"
"Rumah 2 Lantai Baru SHM + Private Pool View Merapi","Rp 1,75 Miliar","3","3","1",": 126 m²",": 144 m²","Rumah, Premier, Dekat Sekolah, Dekat Tempat Wisata, Dekat Landmark","Akatara Indah Land","Diperbarui 6 hari yang lalu oleh","Kaliurang, Yogyakarta","/properti/yogyakarta/hos17462285/"
"Perumahan Cluster Baru Jogja Dekat Ugm SHM Unfurnished","Rp 1,49 Miliar","3","2","1",": 90 m²",": 110 m²","Rumah, Premier, Dekat Sekolah, Dekat Tempat Wisata, Dekat Landmark","Akatara Indah Land","Diperbarui 6 hari yang lalu oleh","Sleman, Sleman","/properti/sleman/hos17716706/"
"Promo Rumah Cluster Baru di Sleman 2 Lantai Unfurnished SHM Kaliurang","Rp 1,88 Miliar","3","2","1",": 130 m²",": 150 m²","Rumah, Premier, Dekat Sekolah, Dekat Tempat Wisata, Dekat Landmark","Akatara Indah Land","Diperbarui 6 hari yang lalu oleh","Kaliurang, Sleman","/properti/sleman/hos17726091/"
"RUMAH MEWAH EKLUSIF HOOK 2 LANTAI DALAM PERUMAHAN ELITE DI DEKAT BALE MULIA DAN TERMINAL JOMBOR MLATI SLEMAN","Rp 2,2 Miliar","3","3","1",": 137 m²",": 145 m²","Rumah, Premier, Full Furnished, Dekat Sekolah","Ayanti Sahabat Properti Jogja","Diperbarui 1 minggu yang lalu oleh","Mlati, Sleman","/properti/sleman/hos17486852/"
"Villa Private Pool Dekat Pusat Wisata Jogja","Rp 299 Juta","1","1","1",": 36 m²",": 36 m²","Rumah, Premier, Dekat Pusat Perbelanjaan, Dekat Sekolah, Dekat Tempat Ibadah","Rifany Cahyaning","Diperbarui 1 minggu yang lalu oleh","Ngaglik, Sleman","/properti/sleman/hos17967290/"
"Villa Furnished Bohemian di Kaliurang Jogja","Rp 332 Juta","1","1","1",": 45 m²",": 45 m²","Rumah, Premier, Full Furnished, Dekat Pusat Perbelanjaan, Dekat Sekolah","Rifany Cahyaning","Diperbarui 1 minggu yang lalu oleh","Sleman, Sleman","/properti/sleman/hos18054752/"
"Rumah Cantik Baru Shm Limasan Jalan Kaliurang Km 9 Sleman","Rp 749 Juta","3","2","1",": 706 m²",": 75 m²","Rumah, Premier, Dekat Tempat Wisata, Dekat Landmark","Wisnu Kawiryan","Diperbarui 1 minggu yang lalu oleh","Sleman, Sleman","/properti/sleman/hos18048860/"
"Dijual Segera lokasi Dekat Jalan Jambon Barat Jalan Magelang Dekat Kranggan, Dekat Jcm, Rumah Shm Baru","Rp 4,5 Miliar","6","5","N/A",": 1000 m²",": 500 m²","Rumah, Premier","Muhlisin panoramicland","Diperbarui 1 minggu yang lalu oleh","Gamping, Sleman","/properti/sleman/hos16536231/"
"Rumah Imut Cantik Minimalis Harga Ekonomis Di Dalam Perumahan Gta Banguntapan Bantul Dekat Dm Swalayan","Rp 375 Juta","2","1","1",": 59 m²",": 40 m²","Rumah, Premier, Dekat Sekolah","Ayanti Sahabat Properti Jogja","Diperbarui 1 minggu yang lalu oleh","Banguntapan, Bantul","/properti/bantul/hos16402259/"
"Rumah Baru Luas Di Wedomartani Dekat Jogja Bay","Rp 885 Juta","N/A","N/A","N/A",": 102 m²",": 75 m²","Rumah, Premier, Siap Huni, Dekat Sekolah, Dekat Tempat Wisata","Zakia Netra Kencana","Diperbarui 1 minggu yang lalu oleh","Ngemplak, Sleman","/properti/sleman/hos17971016/"
"Perumahan Modern 3 Pilihan Tipe di Bantul Dekat Kampus Umy","Rp 710 Juta","2","1","1",": 72 m²",": 50 m²","Rumah, Premier, Dekat Akses Transportasi, Dekat Pusat Perbelanjaan, Dekat Sekolah","Siska Core","Diperbarui 2 minggu yang lalu oleh","Sedayu, Bantul","/properti/bantul/hos17975726/"
"Rumah Pendopo Mix Modern. ISTIMEWA 2 Muka (Pendopo hadap Barat, Modern hadap Timur) 2 akses, lokasi di Jalan Boyong no 14 Pakem, Sleman. Yogyakarta","Rp 9,9 Miliar","8","6","6",": 1282 m²",": 900 m²","Rumah, Premier, Full Furnished, Dekat Landmark","Leonardus Aditya","Diperbarui 1 hari yang lalu oleh","Pakem, Sleman","/properti/sleman/hos17715672/"
"Rumah Hak Milik Lokasi Sangat Strategis di Depok Sleman","Rp 2,6 Miliar","3","2","N/A",": 138 m²",": 186 m²","Rumah, Premier","Niarna Lusi","Diperbarui 1 hari yang lalu oleh","Depok, Sleman","/properti/sleman/hos18101582/"
"Kost Dijual Condong Catur Baru Exclusive","Rp 2,95 Miliar","12","12","2",": 139 m²",": 250 m²","Rumah, Premier, Full Furnished, Dekat Sekolah","tri indarto","Diperbarui 1 minggu yang lalu oleh","Ngaglik, Sleman","/properti/sleman/hos10056323/"
"Murah Banget Rumah Cantik Minimalsi Imut Harga Super Ekonomis Dalam Perumahan Bangunjiwo Bantul","Rp 235 Juta","2","1","1",": 75 m²",": 30 m²","Rumah, Premier, Bebas Banjir","Elsa property","Diperbarui 1 minggu yang lalu oleh","Banguntapan, Bantul","/properti/bantul/hos17953390/"
"Rumah Cantik Baru Shm Siap Huni Di Sleman Wedomartani","Rp 849 Juta","3","2","1",": 107 m²",": 90 m²","Rumah, Premier, Siap Huni, Dekat Sekolah","Wisnu Kawiryan","Diperbarui 1 minggu yang lalu oleh","Sleman, Yogyakarta","/properti/yogyakarta/hos17941774/"
"ISTIMEWA BANGET! RUMAH SUPER MEWAH EKLUSIF 2 LANTAI UNIT HOOK - HARGA MURAH BANGET DI DALAM PERUMAHAN ELITE BALE MULIA JOMBOR MLATI SLEMAN","Rp 5,75 Miliar","6","4","2",": 355 m²",": 376 m²","Rumah, Premier","Ayanti Sahabat Properti Jogja","Diperbarui 2 minggu yang lalu oleh","Mlati, Sleman","/properti/sleman/hos17125477/"
"BOMBASTIS JARANG ADA! RUMAH LUX MEWAH MEDITERANIA TROPICAL 2 LANTAI DENGAN KUALITAS PREMIUM DEKAT DENGAN TUGU JOGJA DAN MALIOBORO DALAM RINGROAD JL GO","Rp 12,5 Miliar","6","7","4",": 636 m²",": 450 m²","Rumah, Premier, Full Furnished, Dekat Sekolah","Ayanti Sahabat Properti Jogja","Diperbarui 2 minggu yang lalu oleh","Godean, Sleman","/properti/sleman/hos15676746/"
"Rumah Cantik Siap Huni nempel Ring Road Barat, Godean, Jogyakarta","Rp 830 Juta","3","2","N/A",": 163 m²",": 100 m²","Rumah, Premier, Siap Huni, Dekat Sekolah","TANTI (ARQN)","Diperbarui 2 minggu yang lalu oleh","Godean, Sleman","/properti/sleman/hos17860355/"
"Rumah Siap Huni furnished Strategis Kaliurang Km 7","Rp 825 Juta","3","2","1",": 110 m²",": 105 m²","Rumah, Premier, Full Furnished, Siap Huni, Dekat Pusat Perbelanjaan","Abizar Aulia","Diperbarui 1 minggu yang lalu oleh","Ngaglik, Sleman","/properti/sleman/hos17908662/"
"Dijual Rumah 2,5 Lantai Dan Pekarangan, Hook, Strategis, View Sawah, di Palagan Yogyakarta","Rp 5,25 Miliar","7","4","1",": 400 m²",": 170 m²","Rumah, Premier","Maria","Diperbarui 3 minggu yang lalu oleh","Ngaglik, Sleman","/properti/sleman/hos17618305/"
"Rumah 2 Lantai Baru Semi Furnished SHM Yogyakarta","Rp 2 Miliar","4","4","1",": 104 m²",": 121 m²","Rumah, Premier, Full Furnished","Fandri Liesmarindra","Diperbarui 3 minggu yang lalu oleh","Banguntapan, Bantul","/properti/bantul/hos17900847/"
"Rumah Cantik 2 Lantai Modern Minimalis di Maguwoharjo","Rp 1,68 Miliar","4","2","1",": 118 m²",": 160 m²","Rumah, Premier, Dekat Akses Transportasi, Dekat Pusat Perbelanjaan, Dekat Sekolah","Erfin Wastu","Diperbarui 4 minggu yang lalu oleh","Depok, Sleman","/properti/sleman/hos17842743/"
"Rumah 2 Lantai Perumahan Dekat UGM Jogja Kota Sleman Yogyakarta","Rp 2,3 Miliar","5","5","2",": 132 m²",": 107 m²","Rumah, Premier, Dekat Sekolah, Dekat Fasilitas Kesehatan, Dekat Landmark","Dyah Okta","Diperbarui 4 minggu yang lalu oleh","Mlati, Sleman","/properti/sleman/hos17836651/"
"Jual Rumah Kuantan Regency Harga Terjangkau","Rp 950 Juta","2","1","1",": 80 m²",": 40 m²","Rumah, Premier, Dekat Akses Transportasi, Dekat Sekolah","Steven Kurniawan","Diperbarui 1 hari yang lalu oleh","Umbulharjo, Yogyakarta","/properti/yogyakarta/hos18098355/"
"Rumah SHM Siap Huni di Prambanan, Sleman","Rp 550 Juta","2","1","1",": 110 m²",": 100 m²","Rumah, Premier, Siap Huni, Bebas Banjir","Regina Puspa Arinta","Diperbarui 2 hari yang lalu oleh","Prambanan, Sleman","/properti/sleman/hos18097991/"
"Rumah Mewah Tinggal Masuk Jl Magelang Km8 Dkt Rsud, Kantor, Fasum","Rp 2,55 Miliar","5","4","1",": 205 m²",": 285 m²","Rumah, Premier, Full Furnished","Lidia Chandra","Diperbarui 2 hari yang lalu oleh","Sleman, Yogyakarta","/properti/yogyakarta/hos12822303/"
"Rumah 2lantai Dengan Private Pool Dekat Kemana2 Shm Baru","Rp 1,85 Miliar","4","3","2",": 118 m²",": 126 m²","Rumah, Premier, Siap Huni, Dekat Akses Transportasi, Dekat Pusat Perbelanjaan","Umi Roro XMJI","Diperbarui 2 hari yang lalu oleh","Maguwoharjo, Yogyakarta","/properti/yogyakarta/hos17923350/"
"Rumah Dekat Malioboro Jalan Wates Pasar Gamping","Rp 650 Juta","3","2","1",": 128 m²",": 70 m²","Rumah, Premier, Dekat Sekolah, Dekat Fasilitas Kesehatan","tri indarto","Diperbarui 1 hari yang lalu oleh","Gamping, Sleman","/properti/sleman/hos6900890/"
"Rumah Besar Tanah Luas Bisa Buat Usaha Dalam Kota","Rp 2,1 MiliarRp 2.2MHEMAT 100 Jutaan","6","3","1",": 265 m²",": 310 m²","Rumah, Premier, Dekat Akses Transportasi, Dekat Pusat Perbelanjaan, Dekat Fasilitas Kesehatan","tri indarto","Diperbarui 1 hari yang lalu oleh","Umbulharjo, Yogyakarta","/properti/yogyakarta/hos10917131/"
"Rumah Baru Istimewa 2 Lantai Modern Scandinavian Dalam Perumahan Di Dekat Budi Mulia Wedomartani Ngemplak Sleman","Rp 900 Juta","3","3","2",": 103 m²",": 100 m²","Rumah, Premier, Dekat Sekolah, Dekat Tempat Wisata","Ayanti Sahabat Properti Jogja","Diperbarui 1 minggu yang lalu oleh","Ngemplak, Sleman","/properti/sleman/hos17334546/"
"RUMAH MEWAH MODERN 2 LANTAI ISTIMEWA DENGAN JOGLO DAN TANAH LUAS DI MAGUWOHARJO DEPOK SLEMAN DEKAT BUDI MULIA TAJEM","Rp 4,9 Miliar","5","5","2",": 751 m²",": 200 m²","Rumah, Premier, Dekat Pusat Perbelanjaan, Dekat Sekolah, Dekat Fasilitas Kesehatan","Ayanti Sahabat Properti Jogja","Diperbarui 1 minggu yang lalu oleh","Maguwoharjo, Yogyakarta","/properti/yogyakarta/hos17738584/"
"Rumah Murah Jogja Barat Di Jl.setran Sumberarum Moyudan","Rp 350 Juta","2","1","1",": 106 m²",": 50 m²","Rumah, Premier, Siap Huni, Bebas Banjir, Dekat Sekolah","info rumah jogja kita","Diperbarui 1 minggu yang lalu oleh","Moyudan, Sleman","/properti/sleman/hos18030700/"
"Homestay Klasik Full Furnished Tanah Luas Tepian Sawah","Rp 5,5 Miliar","12","10","1",": 1850 m²",": 600 m²","Rumah, Premier, Full Furnished, Dekat Sekolah","tri indarto","Diperbarui 1 minggu yang lalu oleh","Sewon, Bantul","/properti/bantul/hos11016697/"
"Rumah Luas 2 Lantai 5 Kamar Tidur Cck Untuk Keluarga Kantor Area Dekat Jalan Kaliurang","Rp 2,05 Miliar","5","4","1",": 188 m²",": 300 m²","Rumah, Premier, Dekat Sekolah, Dekat Landmark","Nanang Ibrahim","Diperbarui 1 minggu yang lalu oleh","Ngaglik, Sleman","/properti/sleman/hos17834444/"
"Rumah Siap Huni 2 Lantai Furnish Dalam Perumahan Ada Fasilitas Kolam Renang Dekat Ke Kampus Uty","Rp 2,1 Miliar","2","2","2",": 100 m²",": 174 m²","Rumah, Premier, Full Furnished, Siap Huni, Dekat Sekolah","Nanang Ibrahim","Diperbarui 1 minggu yang lalu oleh","Mlati, Sleman","/properti/sleman/hos17995633/"
"Rumah Tanah Luas Dekat Kota Bugisan 1000 Meter","Rp 3,5 Miliar","6","3","4",": 1052 m²",": 300 m²","Rumah, Premier, Dekat Pusat Perbelanjaan, Dekat Fasilitas Kesehatan, Dekat Tempat Ibadah","tri indarto","Diperbarui 1 minggu yang lalu oleh","Kasihan, Bantul","/properti/bantul/hos13188394/"
"Jual Kost Full Sewa Full Perabot Ac Water Dll","Rp 3 MiliarRp 3.1MHEMAT 100 Jutaan","12","12","1",": 196 m²",": 240 m²","Rumah, Premier, Dekat Sekolah","tri indarto","Diperbarui 6 hari yang lalu oleh","Mlati, Sleman","/properti/sleman/hos7628407/"
"Dijual Rumah Bagus Dalam Perumahan Security 24 Jam Jalan Mobil Simpangan Area Monjali Dekat Sekolah Yis","Rp 1,7 Miliar","3","3","1",": 102 m²",": 126 m²","Rumah, Premier, Dekat Pusat Perbelanjaan, Dekat Sekolah, Dekat Fasilitas Kesehatan","Nanang Ibrahim","Diperbarui 1 minggu yang lalu oleh","Mlati, Sleman","/properti/sleman/hos17967975/"
"Rumah 2 Lantai Di Banguntapan, Carport 2 Mobil","Rp 1,1 Miliar","3","2","2",": 98 m²",": 120 m²","Rumah, Premier","Agus Prihantoro","Diperbarui 2 minggu yang lalu oleh","Banguntapan, Bantul","/properti/bantul/hos17255585/"
"Villa Bustanian, Cantik Dekat Candi Prambanan, Free Full Furnished","Rp 2,69 Miliar","2","3","4",": 359 m²",": 234 m²","Rumah, Premier, Full Furnished, Dekat Akses Transportasi, Dekat Tempat Wisata","Adib Sirojuddin Ahmad","Diperbarui 2 minggu yang lalu oleh","Kalasan, Sleman","/properti/sleman/hos17076931/"
"Rumah 2 Lantai di Griya Madani Asri. Tegalrejo, Kasihan, Bantul","Rp 2,5 Miliar","2","1","1",": 133 m²",": 80 m²","Rumah, Premier, Bebas Banjir, Dekat Akses Transportasi, Dekat Sekolah","Moh. Royani","Diperbarui 2 minggu yang lalu oleh","Kasihan, Bantul","/properti/bantul/hos17446354/"
"Harus Terjual Cepat Nego Sampai Deal Harga Dibawah Pasaran Rumah Tua Luas Tanah 323m2 Surat HGB Lokasi Di Detis Kota Jogjakarta Kawasan Strategis Daer","Rp 8,5 Miliar","4","3","3",": 323 m²",": 120 m²","Rumah, Premier","Thanty Sulistio","Diperbarui 3 minggu yang lalu oleh","Jetis, Yogyakarta","/properti/yogyakarta/hos17094260/"
"Rumah 2 Lantai Lokasi Strategis di Kirana Garden Gamping Sleman Full Furnished Atau Tanpa Furnished","Rp 1,8 Miliar","4","4","2",": 149 m²",": 171 m²","Rumah, Premier, Full Furnished, Dekat Sekolah","BUDI RAHARDJO","Diperbarui 3 minggu yang lalu oleh","Gamping, Sleman","/properti/sleman/hos17600364/"
"VILLA PREMIUM 2 LANTAI DENGAN PRIVATE POOL CANTIK DI KOTA JOGJA, SARIHARJO, NGAGLIK, SLEMAN","Rp 299 Juta","1","1","1",": 45 m²",": 45 m²","Rumah, Premier, Bebas Banjir, Dekat Akses Transportasi","Rini Nurjanah","Diperbarui 4 minggu yang lalu oleh","Ngaglik, Sleman","/properti/sleman/hos17828455/"
"Rumah Mewah Dan Nyaman Lokasi Strategis di Pajangan, Bantul, Yogyakarta","Rp 12 Miliar","6","4","4",": 6400 m²",": 6400 m²","Rumah, Premier, Dekat Pusat Perbelanjaan, Dekat Sekolah","Desy","Diperbarui 4 minggu yang lalu oleh","Pajangan, Bantul","/properti/bantul/hos17327029/"
"Rumah Palagan Dengan Tanah Luas 250 Meter","Rp 1,75 MiliarRp 1.8MHEMAT 50 Jutaan","3","3","N/A",": 257 m²",": 150 m²","Rumah, Premier, Siap Huni, Dekat Pusat Perbelanjaan, Dekat Sekolah","tri indarto","Diperbarui 1 hari yang lalu oleh","Ngaglik, Sleman","/properti/sleman/hos15197152/"
"Rumah Baru Siap Huni Mewah Modern Istimewa Dalam Mini Cluster Di Wedomartani Utara Tajem Dekat Budi Mulia","Rp 835 Juta","3","2","1",": 107 m²",": 91 m²","Rumah, Premier, Siap Huni, Dekat Sekolah","Ayanti Sahabat Properti Jogja","Diperbarui 1 minggu yang lalu oleh","Ngemplak, Sleman","/properti/sleman/hos16805006/"
"Rumah Super Mewah Dan Murah Dekat Sekolah Budi Mulia Di Wedomartani","Rp 1,45 Miliar","3","2","2",": 85 m²",": 100 m²","Rumah, Premier, Dekat Sekolah, Dekat Tempat Wisata","Uut Benka Property Yogya","Diperbarui 1 minggu yang lalu oleh","Ngemplak, Sleman","/properti/sleman/hos18022636/"
