title,price,bedroom,bathroom,carport,LT,LB,badges,agent,updated,location,link
"Rumah Semi Furnished di Sleman Dekat Tengkleng Gajah","Rp 785 Juta","3","1","1",": 99 m²",": 80 m²","Rumah, Full Furnished, Siap Huni, Dekat Sekolah","Siska Core","Diperbarui 2 minggu yang lalu oleh","Sleman, Yogyakarta","/properti/yogyakarta/hos17956718/"
"Bisa Nego rumah Desain Baru 3 Menitan Dari Padma Residence","Rp 389 Juta","2","1","1",": 45 m²",": 91 m²","Rumah, Dekat Sekolah","Paul Borneo","Diperbarui 2 minggu yang lalu oleh","Kasihan, Bantul","/properti/bantul/hos17960714/"
"Strategis Dekat Umy Rumah Minimalis 1 Lantai Idaman Legalitas SHM","Rp 400 Juta","2","1","1",": 91 m²",": 45 m²","Rumah, Dekat Pusat Perbelanjaan, Dekat Sekolah","Paul Borneo","Diperbarui 2 minggu yang lalu oleh","Bantul, Yogyakarta","/properti/yogyakarta/hos17960678/"
"Dekat Kampus Uad ,terminal Giwangan,lingkungan Padat Ramai","Rp 950 Juta","3","2","1",": 88 m²",": 90 m²","Rumah, Dekat Akses Transportasi, Dekat Sekolah, Dekat Fasilitas Kesehatan","Epro Rumah Jogja","Diperbarui 2 minggu yang lalu oleh","Banguntapan, Bantul","/properti/bantul/hos17948071/"
"Harga Promo Agustusan 300 Jutaan Hunian Nyaman Konsep Industrial Modern","Rp 389 Juta","2","1","1",": 90 m²",": 45 m²","Rumah, Dekat Pusat Perbelanjaan, Dekat Sekolah","Paul Borneo","Diperbarui 2 minggu yang lalu oleh","Kasihan, Bantul","/properti/bantul/hos17960635/"
"Rumah Modern Minimalis Legalitas SHM Dekat Ringroad Umy","Rp 450 Juta","2","1","1",": 91 m²",": 45 m²","Rumah, Dekat Pusat Perbelanjaan, Dekat Sekolah","Paul Borneo","Diperbarui 2 minggu yang lalu oleh","Kasihan, Bantul","/properti/bantul/hos17960569/"
"Rumah Scandinavian Mewah Jalan Kaliurang Km 9","Rp 1,39 Miliar","3","3","2",": 134 m²",": 100 m²","Rumah, Dekat Pusat Perbelanjaan, Dekat Landmark","Rumah Jogja Cantik","Diperbarui 2 minggu yang lalu oleh","Kaliurang, Sleman","/properti/sleman/hos17960413/"
"SVARGA MAGUWO PERUMAHAN EXKLUSIF DI DEPOK SLEMAN","Rp 2 Miliar","5","4","N/A",": 154 m²",": 117 m²","Rumah, DP 0%, Dekat Sekolah, Dekat Fasilitas Kesehatan","YAYAN (LAVO)","Diperbarui 2 minggu yang lalu oleh","Depok, Sleman","/properti/sleman/hos17960406/"
"Siap Huni Rumah Modern Banguntapan Potorono","Rp 550 Juta","3","1","N/A",": 85 m²",": 83 m²","Rumah, Siap Huni","Yakob property GT","Diperbarui 2 minggu yang lalu oleh","Banguntapan, Bantul","/properti/bantul/hos17959636/"
"Rumah Mewah 5 Kamar, Sleman Yogyakarta, Shm, 4,35m Nego","Rp 4,35 Miliar","5","3","1",": 547 m²",": 250 m²","Rumah, Dekat Fasilitas Kesehatan","Rachma Fadilla","Diperbarui 2 minggu yang lalu oleh","Sleman, Yogyakarta","/properti/yogyakarta/hos17960277/"
"Rumah Mewah Minimalis Modern Dekat Uii","Rp 1,39 Miliar","3","3","2",": 100 m²",": 134 m²","Rumah, Dekat Pusat Perbelanjaan, Dekat Sekolah, Dekat Landmark","Santi Properti","Diperbarui 2 minggu yang lalu oleh","Ngaglik, Sleman","/properti/sleman/hos17960226/"
"Rumah Full Furnished, 9 Menit Ke Polda Diy Di Depok, Sleman","Rp 2,2 Miliar","3","3","1",": 139 m²",": 125 m²","Rumah, Full Furnished, Dekat Pusat Perbelanjaan, Dekat Sekolah","Alvian Wastu","Diperbarui 3 minggu yang lalu oleh","Depok, Sleman","/properti/sleman/hos17911607/"
"Dijual Kost - Kostan Dekat Ugm Harga Nego","Rp 13 Miliar","37","37","8",": 644 m²",": 1320 m²","Rumah, Dekat Akses Transportasi, Dekat Sekolah","Lisa Wastu","Diperbarui 3 minggu yang lalu oleh","Caturtunggal, Sleman","/properti/sleman/hos17911594/"
"Kost Kostan 37 Kamar Dijual Dekat Ugm Jogja","Rp 13 Miliar","37","37","7",": 644 m²",": 1320 m²","Rumah, Dekat Akses Transportasi, Dekat Sekolah","Lisa Wastu","Diperbarui 3 minggu yang lalu oleh","Caturtunggal, Sleman","/properti/sleman/hos17911587/"
"Rumah Mewah Minimalis Modern Dekat Uii","Rp 1,21 Miliar","3","2","2",": 121 m²",": 100 m²","Rumah, Dekat Sekolah, Dekat Fasilitas Kesehatan, Dekat Landmark","Santi Properti","Diperbarui 3 minggu yang lalu oleh","Ngaglik, Sleman","/properti/sleman/hos17911581/"
"Dijual Cepat Kost Kostan Dekat Kampus Ugm","Rp 14,5 Miliar","22","22","10",": 1222 m²",": 632 m²","Rumah, Full Furnished, Dekat Pusat Perbelanjaan, Dekat Sekolah","Lisa Wastu","Diperbarui 3 minggu yang lalu oleh","Mlati, Sleman","/properti/sleman/hos17911562/"
"Kost 22 Kamar Dekat Ugm Dijual Cepat Harga Nego","Rp 14,5 Miliar","22","22","10",": 1222 m²",": 632 m²","Rumah, Full Furnished, Dekat Pusat Perbelanjaan, Dekat Sekolah","Lisa Wastu","Diperbarui 3 minggu yang lalu oleh","Mlati, Sleman","/properti/sleman/hos17911557/"
"Rumah Murah Paling Laris Di Bogem Kalasan","Rp 350 Juta","2","1","1",": 80 m²",": 30 m²","Rumah, Dekat Akses Transportasi, Dekat Pusat Perbelanjaan, Dekat Sekolah","Lisa Wastu","Diperbarui 3 minggu yang lalu oleh","Kalasan, Sleman","/properti/sleman/hos17911549/"
"Rumah Paling Murah Dekat Jl. Raya Jogja Solo Di Kalasan","Rp 350 Juta","2","1","1",": 80 m²",": 30 m²","Rumah, Dekat Akses Transportasi, Dekat Pusat Perbelanjaan, Dekat Sekolah","Lisa Wastu","Diperbarui 3 minggu yang lalu oleh","Kalasan, Sleman","/properti/sleman/hos17911547/"
