"title","price","bedroom","bathroom","carport","LT","LB","badges","agent","updated","location","link","description"
"Rumah Mewah Jogja Discount Brutal Dari 8,8 Milyar","Rp 7,7 MiliarRp 8.8MHEMAT 1 Miliaran","4","4","3","280 m²","600 m²","Full Furnished, Dekat Pusat Perbelanjaan, Dekat Sekolah, Rumah, Premier","Carlos","Diperbarui 1 hari yang lalu oleh","Ngaglik, Sleman","/properti/sleman/hos39575315/","RUMAH SUPER MEWAH JOGJA FURNISHED Cocok buat HOMESTAY / REDDORZ / Kantor / Cafe / Salon Lt ±280mtr..."
"Rumah 2 Lantai Di Perumahan Palagan, Siap Huni!","Rp 2,7 Miliar","3","3","2","176 m²","150 m²","Bisa Nego, Full Furnished, Siap Huni, Rumah, Premier","Pudji","Diperbarui 3 hari yang lalu oleh","Mlati, Sleman","/properti/sleman/hos39767614/","Kesempatan terbatas buat Anda dapatkan rumah nyaman dengan return investasi tinggi di Mlati, Sleman...."
"Dijual Rumah 2 lantai Dalam Cluster Dekat UMY","Rp 750 Juta","2","2","4","154 m²","90 m²","Subsidi, Siap Huni, Bebas Banjir, Rumah, Premier","Yudistira Balecatur","Diperbarui 3 minggu yang lalu oleh","Sewon, Bantul","/properti/bantul/hos39644424/","Rumah hook 2 lantai di Bangunjiwo, Bantul. Dijual rumah hook di wilayah yang nyaman dengan pemandangan..."
"Rumah Mewah 2 Lantai Dekat Al Azhar Yogyakarta Ringroad Barat","Rp 1,45 MiliarRp 1.6MHEMAT 120 Jutaan","3","3","2","100 m²","114 m²","Siap Huni, Dekat Sekolah, Dekat Tempat Ibadah, Rumah, Premier","MUKHMAMMAD FAIZIN","Diperbarui 4 minggu yang lalu oleh","Godean, Sleman","/properti/sleman/hos38973554/","Kesempatan terbatas buat Anda dapatkan rumah mewah 2 lantai nyaman dengan lokasi yg strategis di..."
"Rumah Mewah 2 Lantai Dekat Al Azhar Yogyakarta Ringroad Barat","Rp 1,45 MiliarRp 1.6MHEMAT 120 Jutaan","3","3","2","100 m²","114 m²","Siap Huni, Dekat Sekolah, Dekat Tempat Ibadah, Rumah, Premier","MUKHMAMMAD FAIZIN","Diperbarui 4 minggu yang lalu oleh","Godean, Sleman","/properti/sleman/hos38973554/","Kesempatan terbatas buat Anda dapatkan rumah mewah 2 lantai nyaman dengan lokasi yg strategis di..."
"10 Menit Saja!! Ke Kampus Uii..rumah Baru Lingkungan Nyaman","Rp 1,28 Miliar","3","2","1","146 m²","100 m²","Siap Huni, Dekat Pusat Perbelanjaan, Dekat Sekolah, Rumah, Premier","Rully Java","Diperbarui 1 hari yang lalu oleh","Ngaglik, Sleman","/properti/sleman/hos17574628/","Istimewa dan Baru.. Rumah Istimewa di Jogja Tanahnya luas lho..146,5 m Harga 1.280.000.000 Nego Rumah..."
"Rumah Tipe Kontemporer Samping Kampus Mercubuana","Rp 1,1 Miliar","3","2","2","115 m²","96 m²","Full Furnished, DP 0%, Siap Huni, Rumah, Premier","Mema Royal Sedayu","Diperbarui 2 hari yang lalu oleh","Sedayu, Bantul","/properti/bantul/hos39812957/","Hunian terbaik se sedayu, samping kampus mercubuana Rumah ini berada dalam cluster mewah, tepi jalan..."
"Rumah Mewah 2 Lantai 400 Jutaan di Pusat Kota Klaten","Rp 460 Juta","2","1","1","75 m²","65 m²","Rumah, Premier","Rajata Propertindo Perkasa","Diperbarui 2 hari yang lalu oleh","Prambanan, Sleman","/properti/sleman/hos39811350/","Diperbarui 2 hari yang lalu oleh"
"Rumah Mewah Mulai 460 Juta di Klaten Kota","Rp 460 Juta","2","1","N/A","75 m²","65 m²","Rumah, Premier","Rajata Propertindo Perkasa","Diperbarui 2 hari yang lalu oleh","Maguwoharjo, Yogyakarta","/properti/yogyakarta/hos39607788/","Salah satu Rumah idaman dekat Pusat Kota >..."
"Rumah Sangat Strategis di Banguntapan","Rp 1,8 MiliarRp 1.9MHEMAT 100 Jutaan","3","2","1","201 m²","190 m²","Dekat Akses Transportasi, Dekat Pusat Perbelanjaan, Dekat Sekolah, Rumah, Premier","Bima Adijaya","Diperbarui 24 menit yang lalu oleh","Banguntapan, Bantul","/properti/bantul/hos39810417/","Rumah Sangat Strategis di Banguntapan Lokasi : Jaranan, Kec. Banguntapan, Kab. Bantul, Daerah Istimewa..."
